ID,Field_Of_Study,Primary_Hobby,Secondary_Hobby,Gender,Desired_Career_Field,Country_Of_Origin
100347,Risk Engineering,Mountain Biking,Wine Tasting,Female,Risk Manager,Italy
100348,Medical Technology Design,Sewing,Toy,Female,Medical Imaging Engineer,India
100349,Computational Mechanics and Scientific Computing,Chess,Photography,Male,Computational Fluid Dynamics Engineer,China
100350,Climate and Sustainability Engineering,Gardening,Backpacking,Female,Renewable Energy Analyst,Russia
100351,Biomedical Engineering,Pottery,Dance,Female,Biomedical Scientist,Sweden
100352,Design and Technology Innovation,Web Design,Drawing,Male,UX Researcher,Netherlands
100353,Electrical Engineering,Music,Basketball,Male,Power Systems Engineer,Norway
100354,AI,Yoga,Photography,Female,Machine Learning Engineer,Switzerland
100355,Photonics and Optical Sciences,Dance,Weaving,Female,Water Resources Engineer,UK
100356,Computational Mechanics and Scientific Computing,Scuba Diving,Drawing,Other,Geotechnical Engineer,Australia
100357,Mechanical Engineering,Basketball,Pottery,Other,Penetration Tester,Japan
100358,Climate and Sustainability Engineering,Model Building,Drawing,Male,Electrical Engineering,Brazil
100359,Design and Technology Innovation,Archery,Embroidery,Other,Natural Language Processing Engineer,UK
100360,AI,Running,Video Gaming,Male,AI/Machine Learning Engineer,United States
100361,Biomedical Engineering,Photography,Cooking,Female,Biomedical Research,Canada
100362,Civil Engineering,Wood Working,Hiking,Male,Structural Engineer,United Kingdom
100363,Climate and Sustainability Engineering,Gardening,Sustainable Design,Female,Climate Change Analyst,Australia
100364,Computational Mechanics and Scientific Computing,Mountain Biking,Digital Art,Male,High-Performance Computing Specialist,Germany
100365,Cybersecurity,Chess,Computer Programming,Male,Cybersecurity Analyst,India
100366,Design and Technology Innovation,Drawing,Sculpture,Non-Binary,Product Design Engineer,France
100367,Electrical and Computer Engineering,Music,Computer Programming,Male,Robotics Engineer,Japan
100368,Environmental Engineering,Beekeeping,Environmental Advocacy,Female,Environmental Engineer,Brazil
100369,Financial Technology,Winemaking,Investment,Female,Financial Analyst,South Africa
100370,Materials Science and Engineering,Pottery,Glassblowing,Female,Materials Engineer,Spain
100371,Mechanical Engineering,Baseball,Wood Working,Male,Renewable Energy Engineer,Mexico
100372,Medical Technology Design,Knitting,Embroidery,Female,Biomedical Device Engineer,Italy
100373,Photonics and Optical Sciences,Photography,Drawing,Non-Binary,Computational Fluid Dynamics Engineer,Sweden
100374,Risk Engineering,Backpacking,Mountain Biking,Male,Risk Analyst,Norway
100375,Game Design Development and Innovation,Video Gaming,Creative Writing,Female,Game Designer,Netherlands
100376,Computational Mechanics and Scientific Computing,Web Design,Computer Programming,Male,Computational Scientist,Singapore
100377,Electrical and Computer Engineering,Music,Computer Programming,Female,User Experience (UX) Designer,China
100378,Environmental Engineering,Gardening,Environmental Advocacy,Male,Water Resources Engineer,New Zealand
100379,Financial Technology,Chess,Investment,Male,Financial Quantitative Analyst,Switzerland
100380,Cybersecurity,Running,Hiking,Female,Cryptographer,Belgium
100381,Design and Technology Innovation,Sculpture,Drawing,Male,Innovation Strategist,Denmark
100382,Civil Engineering,Basketball,Soccer,Male,Transportation Engineer,Malaysia
100383,Biomedical Engineering,Dance,Sewing,Female,Clinical Engineer,Thailand
100384,AI,Snowboarding,Video Gaming,Male,Natural Language Processing Engineer,South Korea
100385,Financial Technology,Shopping,Wine Tasting,Female,Investment Banker,Hong Kong
100386,Electrical and Computer Engineering,Video Gaming,Computer Programming,Male,AI Ethics Specialist,Taiwan
100387,Environmental Engineering,Hiking,Environmental Advocacy,Female,Energy Efficiency Consultant,Finland
100388,Mechanical Engineering,Metalworking,Wood Working,Male,Mechanical Design Engineer,Portugal
100389,Civil Engineering,Backpacking,Sustainable Design,Non-Binary,Climate Change Analyst,Ireland
100390,AI,Video Gaming,Web Design,Female,AI/Machine Learning Engineer,United States
100391,Biomedical Engineering,Cooking,Photography,Male,Biomedical Research,Canada
100392,Civil Engineering,Wood Working,Hiking,Male,Structural Engineer,United Kingdom
100393,Climate and Sustainability Engineering,Gardening,Mountain Biking,Female,Renewable Energy Engineer,Australia
100394,Computational Mechanics and Scientific Computing,Drawing,Digital Art,Male,High-Performance Computing Specialist,Germany
100395,Cybersecurity,Chess,Snowboarding,Female,Penetration Tester,France
100396,Design and Technology Innovation,Pottery,Crochet,Male,Product Design Engineer,Japan
100397,Electrical and Computer Engineering,Basketball,Writing,Male,User Experience (UX) Designer,Brazil
100398,Environmental Engineering,Beekeeping,Embroidery,Female,Sustainable Building Design Engineer,South Africa
100399,Financial Technology,Shopping,Knitting,Female,Financial Technology,India
100400,Game Design Development and Innovation,Video Gaming,Drawing,Male,Video Game Designer,United States
100401,Materials Science and Engineering,Metalworking,Photography,Female,Materials Scientist,Canada
100402,Mechanical Engineering,Wood Working,Hiking,Male,Mechanical Engineer,United Kingdom
100403,Medical Technology Design,Knitting,Pottery,Female,Biomedical Device Engineer,Australia
100404,Photonics and Optical Sciences,Drawing,Photography,Male,Optical Engineer,Germany
100405,Risk Engineering,Chess,Running,Female,Risk Engineer,France
100406,AI,Video Gaming,Web Design,Male,AI Ethics Specialist,Japan
100407,Biomedical Engineering,Cooking,Photography,Female,Clinical Engineer,Brazil
100408,Civil Engineering,Wood Working,Hiking,Male,Transportation Engineer,South Africa
100409,Climate and Sustainability Engineering,Gardening,Mountain Biking,Female,Climate Change Analyst,India
100410,Computational Mechanics and Scientific Computing,Drawing,Digital Art,Male,Computational Fluid Dynamics Engineer,China
100411,Cybersecurity,Chess,Snowboarding,Male,Cybersecurity Analyst,Russia
100412,Design and Technology Innovation,Pottery,Crochet,Female,Innovation Strategist,Mexico
100413,Electrical and Computer Engineering,Basketball,Writing,Female,Human-Computer Interaction (HCI) Specialist,Spain
100414,Environmental Engineering,Beekeeping,Embroidery,Male,Environmental Engineer,Italy
100415,Financial Technology,Shopping,Knitting,Female,Financial Technology,Argentina
100416,Game Design Development and Innovation,Video Gaming,Drawing,Male,Video Game Designer,Nigeria
100417,Materials Science and Engineering,Metalworking,Photography,Female,Materials Scientist,Indonesia
100418,Mechanical Engineering,Wood Working,Hiking,Male,Mechanical Engineer,Saudi Arabia
100419,Medical Technology Design,Knitting,Pottery,Female,Biomedical Device Engineer,South Korea
100420,Environmental Engineering,Gardening,Hiking,Female,Environmental Engineer,Canada
100421,Financial Technology,Shopping,Cooking,Male,Financial Technology,United Kingdom
100422,AI,Video Gaming,Web Design,Male,AI/Machine Learning Engineer,Australia
100423,Biomedical Engineering,Knitting,Pottery,Female,Biomedical Device Engineer,Germany
100424,Civil Engineering,Wood Working,Hiking,Male,Structural Engineer,France
100425,Risk Engineering,Chess,Running,Male,Risk Engineer,Japan
100426,Mechanical Engineering,Mountain Biking,Backpacking,Female,Mechanical Engineer,Brazil
100427,Medical Technology Design,Cooking,Embroidery,Female,Clinical Engineer,South Africa
100428,Cybersecurity,Chess,Scuba Diving,Male,Cybersecurity Analyst,India
100429,Game Design Development and Innovation,Video Gaming,Drawing,Male,Video Game Designer,China
100430,Materials Science and Engineering,Metalworking,Photography,Female,Materials Scientist,Russia
100431,Computational Mechanics and Scientific Computing,Drawing,Digital Art,Male,High-Performance Computing Specialist,Mexico
100432,Design and Technology Innovation,Pottery,Crochet,Female,Product Design Engineer,Spain
100433,Electrical and Computer Engineering,Basketball,Writing,Male,Software Development,Italy
100434,Climate and Sustainability Engineering,Gardening,Mountain Biking,Female,Renewable Energy Engineer,Argentina
100435,Photonics and Optical Sciences,Drawing,Photography,Male,Computer Vision Engineer,Nigeria
100436,Natural Language Processing Engineer,Writing,Creative Writing,Female,Natural Language Processing Engineer,Indonesia
100437,Business Management,Shopping,Wine Making,Male,Business Management,Saudi Arabia
100438,AI Ethics Specialist,Photography,Digital Art,Female,AI Ethics Specialist,South Korea
100439,Biomedical Research,Hiking,Photography,Male,Biomedical Research,Egypt
100440,AI,Video Gaming,Web Design,Male,AI Ethics Specialist,Canada
100441,Cybersecurity,Chess,Running,Female,Cryptographer,United Kingdom
100442,Environmental Engineering,Gardening,Hiking,Male,Climate Change Analyst,Australia
100443,Financial Technology,Shopping,Cooking,Female,Innovation Strategist,Germany
100444,Game Design Development and Innovation,Drawing,Video Gaming,Male,Game Design Development and Innovation,France
100445,Mechanical Engineering,Mountain Biking,Backpacking,Male,Biomechanical Engineer,Japan
100446,Medical Technology Design,Cooking,Embroidery,Male,Medical Technology Design,Brazil
100447,Materials Science and Engineering,Metalworking,Photography,Male,Pharmaceutical Engineer,South Africa
100448,Civil Engineering,Wood Working,Hiking,Female,Geotechnical Engineer,India
100449,Computational Mechanics and Scientific Computing,Drawing,Digital Art,Female,Finite Element Analyst,China
100450,Design and Technology Innovation,Pottery,Crochet,Male,Product Design Engineer,Russia
100451,Electrical and Computer Engineering,Basketball,Writing,Female,Human-Computer Interaction (HCI) Specialist,Mexico
100452,Climate and Sustainability Engineering,Gardening,Mountain Biking,Male,Energy Efficiency Consultant,Spain
100453,Photonics and Optical Sciences,Drawing,Photography,Female,Optics Engineer,Italy
100454,Natural Language Processing Engineer,Writing,Creative Writing,Male,AI/Machine Learning Engineer,Argentina
100455,Risk Engineering,Chess,Running,Female,Security Consultant,Nigeria
100456,Biomedical Engineering,Knitting,Pottery,Male,Biomedical Research,Indonesia
100457,Civil Engineering,Wood Working,Hiking,Male,Water Resources Engineer,Saudi Arabia
100458,Computational Mechanics and Scientific Computing,Drawing,Digital Art,Female,High-Performance Computing Specialist,South Korea
100459,AI,Drawing,Video Gaming,Female,AI/Machine Learning Engineer,United States
100460,Biomedical Engineering,Cooking,Photography,Male,Biomedical Research,Canada
100461,Civil Engineering,Hiking,Wood Working,Female,Structural Engineer,United Kingdom
100462,Climate and Sustainability Eng.,Gardening,Sustainability,Male,Climate Change Analyst,Australia
100463,Computational Mechanics and Sci.,Chess,Computer Prog.,Female,High-Performance Computing Spec.,Germany
100464,Cybersecurity,Scuba Diving,Cryptography,Male,Penetration Tester,France
100465,Design and Technology Innovation,Mountain Biking,Digital Art,Female,Product Design Engineer,Japan
100466,Electrical and Computer Eng.,Soccer,Web Design,Male,User Experience Designer,Brazil
100467,Environmental Engineering,Backpacking,Beekeeping,Female,Environmental Engineer,Spain
100468,Financial Technology,Snowboarding,Economics,Male,Economic Consulting,Italy
100469,Game Design Development and Innov.,Video Gaming,Music,Female,Video Game Designer,Mexico
100470,Materials Science and Engineering,Pottery,Metalworking,Male,Pharmaceutical Engineer,India
100471,Mechanical Engineering,Basketball,Knitting,Female,Robotics Engineer,South Africa
100472,Medical Technology Design,Running,Embroidery,Male,Clinical Engineer,Nigeria
100473,Photonics and Optical Sciences,Acting,Photography,Female,Optical Engineer,China
100474,Risk Engineering,Hunting,Backpacking,Male,Risk Analyst,Russia
100475,AI,Drawing,Video Gaming,Female,AI Ethics Specialist,United States
100476,Biomedical Engineering,Cooking,Photography,Male,Biomedical Device Engineer,Canada
100477,Civil Engineering,Hiking,Wood Working,Female,Transportation Engineer,United Kingdom
100478,Climate and Sustainability Eng.,Gardening,Sustainability,Male,Renewable Energy Engineer,Australia
100479,Computational Mechanics and Sci.,Chess,Computer Prog.,Female,Finite Element Analyst,Germany
100480,Cybersecurity,Scuba Diving,Cryptography,Male,Security Consultant,France
100481,Design and Technology Innovation,Mountain Biking,Digital Art,Female,Innovation Strategist,Japan
100482,Electrical and Computer Eng.,Soccer,Web Design,Male,Human-Computer Interaction Spec.,Brazil
100483,Environmental Engineering,Backpacking,Beekeeping,Female,Water Resources Engineer,Spain
100484,Financial Technology,Snowboarding,Economics,Male,Cybersecurity Analyst,Italy
100485,Game Design Development and Innov.,Video Gaming,Music,Female,Game Developer,Mexico
100486,Materials Science and Engineering,Pottery,Metalworking,Male,Materials Engineer,India
100487,Mechanical Engineering,Basketball,Knitting,Female,Biomechanical Engineer,South Africa
100488,Medical Technology Design,Running,Embroidery,Male,Clinical Psychologist,Nigeria
100489,Photonics and Optical Sciences,Acting,Photography,Female,Laser Engineer,China
100490,Risk Engineering,Hunting,Backpacking,Male,Risk Manager,Russia
100491,AI,Writing,Video Gaming,Female,Natural Language Processing Eng.,United States
100492,Biomedical Engineering,Sewing,Pottery,Male,AI/Machine Learning Engineer,Canada
100493,Civil Engineering,Mountain Biking,Gardening,Female,Structural Engineer,United Kingdom
100494,Climate and Sustainability Eng.,Backpacking,Beekeeping,Male,Sustainable Building Design Eng.,Australia
100495,Computational Mechanics and Sci.,Drawing,Wood Working,Female,Computational Fluid Dynamics Eng.,Germany
100496,Cybersecurity,Chess,Computer Prog.,Male,Cryptographer,France
100497,Design and Technology Innovation,Digital Art,Music,Female,Product Designer,Japan
100498,Electrical and Computer Eng.,Soccer,Web Design,Male,UX Designer,Brazil
100499,Environmental Engineering,Hiking,Beekeeping,Female,Renewable Energy Engineer,Spain
100500,Financial Technology,Brewing,Wine Making,Female,Energy Efficiency Consultant,United States
